dataset_id,method,metric,k0,hyperparam_name,hyperparam_value,hyperparam_label,tsne_perplexity,umap_n_neighbors,T_value,V_value,null_mean,null_sd,null_q95,z_value,p_value,certified_above_null,source_block,protocol_source,b_used,max_pairs_used,n_points_used,subsample_frac,tau,run_null,random_state,representation_description,label_construction_note,n_raw,n_original,n_used,cap_policy,number_of_classes_retained,min_class_support,median_class_support,max_class_support,rank_T_desc,rank_V_desc,n_hyperparam_settings,missing_hyperparams_json,hyperparam_grid_complete,b_min,b_max,pairs_min,pairs_max,n_points_min,n_points_max,group_protocol_candidate_count,group_protocol_uniform,table_family,n_samples,n_samples_source,requested_cap_inferred,requested_cap_source,n_target_auto,n_target_source,n_target,n_target_mode,n_target_active_source,meets_nominal_target,compute_tier_group,compute_tier,compute_status,protocol_note
20newsgroups,umap,jaccard,20,umap_n_neighbors,5.0,n_neighbors=5,,5.0,0.6336107893256991,0.0809557172502223,0.0313249326636664,3.1232646994715714e-06,0.0313302736681166,192838.5566436089,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,6,6,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,umap,jaccard,20,umap_n_neighbors,10.0,n_neighbors=10,,10.0,0.6437188644287261,0.099466453601266,0.0289701092055942,2.3324529598132895e-06,0.0289742725548089,263563.19540623954,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,5,5,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,umap,jaccard,20,umap_n_neighbors,15.0,n_neighbors=15,,15.0,0.6996786514616882,0.1024526116673969,0.0292128350171623,2.3201199555753244e-06,0.0292162837063854,288978.94474523806,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,1,4,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,umap,jaccard,20,umap_n_neighbors,30.0,n_neighbors=30,,30.0,0.6632663655263126,0.1068105669656313,0.0291107440981679,2.2204278934082413e-06,0.0291143766905743,285600.6372964216,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,4,2,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,umap,jaccard,20,umap_n_neighbors,50.0,n_neighbors=50,,50.0,0.6813521195657634,0.1052235446554901,0.0276206732856801,2.11583654177036e-06,0.0276239219060203,308970.6758410997,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,2,3,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,umap,jaccard,20,umap_n_neighbors,100.0,n_neighbors=100,,100.0,0.6743518465415296,0.1068360626418208,0.0291556666191035,2.25854038673123e-06,0.029159029660843,285669.5340552286,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,3,1,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
ag_news,tsne,ami,4,tsne_perplexity,5.0,perp=5,5.0,,0.8290572735852602,0.155545559521294,-1.955508009048471e-07,1.4537027731920752e-05,2.303328529002328e-05,57030.7413884612,0.0049751243781094,True,new_only,merged_csv,200,2000,5000,0.8,200,True,123,title+description text -> TF-IDF(max_features=50000) + TruncatedSVD(50),"Original benchmark labels (single-label multiclass), train+test concatenated deterministically",127600.0,127600.0,5000.0,label_stratified_subsample,4.0,1250.0,1250.0,1250.0,6,5,6,[],True,200,200,2000,2000,5000,5000,1,True,fixed_k0,127600.0,n_raw,5000.0,best_budget_inference,5000.0,"auto:min(n_samples,requested_cap_inferred)",5000.0,auto,"auto:min(n_samples,requested_cap_inferred)",True,nominal,nominal,uniform_protocol,
ag_news,tsne,ami,4,tsne_perplexity,10.0,perp=10,10.0,,0.9416517175557008,0.1718017769996693,2.1537124805823074e-06,1.5111189522797278e-05,2.6864339961008277e-05,62314.72131446794,0.0049751243781094,True,new_only,merged_csv,200,2000,5000,0.8,200,True,123,title+description text -> TF-IDF(max_features=50000) + TruncatedSVD(50),"Original benchmark labels (single-label multiclass), train+test concatenated deterministically",127600.0,127600.0,5000.0,label_stratified_subsample,4.0,1250.0,1250.0,1250.0,3,4,6,[],True,200,200,2000,2000,5000,5000,1,True,fixed_k0,127600.0,n_raw,5000.0,best_budget_inference,5000.0,"auto:min(n_samples,requested_cap_inferred)",5000.0,auto,"auto:min(n_samples,requested_cap_inferred)",True,nominal,nominal,uniform_protocol,
ag_news,tsne,ami,4,tsne_perplexity,15.0,perp=15,15.0,,0.8635103188519789,0.1763083060152601,1.416889748503994e-07,1.51490970441584e-05,2.3754632774769543e-05,57000.768735320744,0.0049751243781094,True,new_only,merged_csv,200,2000,5000,0.8,200,True,123,title+description text -> TF-IDF(max_features=50000) + TruncatedSVD(50),"Original benchmark labels (single-label multiclass), train+test concatenated deterministically",127600.0,127600.0,5000.0,label_stratified_subsample,4.0,1250.0,1250.0,1250.0,5,3,6,[],True,200,200,2000,2000,5000,5000,1,True,fixed_k0,127600.0,n_raw,5000.0,best_budget_inference,5000.0,"auto:min(n_samples,requested_cap_inferred)",5000.0,auto,"auto:min(n_samples,requested_cap_inferred)",True,nominal,nominal,uniform_protocol,
ag_news,tsne,ami,4,tsne_perplexity,30.0,perp=30,30.0,,0.9822264542850944,0.2638166286658177,1.4614070572443207e-06,1.5208476777209404e-05,2.620089627502593e-05,64584.04791398609,0.0049751243781094,True,new_only,merged_csv,200,2000,5000,0.8,200,True,123,title+description text -> TF-IDF(max_features=50000) + TruncatedSVD(50),"Original benchmark labels (single-label multiclass), train+test concatenated deterministically",127600.0,127600.0,5000.0,label_stratified_subsample,4.0,1250.0,1250.0,1250.0,1,1,6,[],True,200,200,2000,2000,5000,5000,1,True,fixed_k0,127600.0,n_raw,5000.0,best_budget_inference,5000.0,"auto:min(n_samples,requested_cap_inferred)",5000.0,auto,"auto:min(n_samples,requested_cap_inferred)",True,nominal,nominal,uniform_protocol,
