dataset_id,method,metric,K,score
20newsgroups,tsne,ami,2,0.9815922285358414
20newsgroups,tsne,ami,2,0.7459976445087846
20newsgroups,tsne,ami,2,0.7293153271147076
20newsgroups,tsne,ami,2,0.9378747729006911
20newsgroups,tsne,ami,2,0.9969137323201392
20newsgroups,tsne,ami,2,0.9870918825991646
20newsgroups,tsne,ami,2,0.7848513999099954
20newsgroups,tsne,ami,2,0.9969150723439228
20newsgroups,tsne,ami,2,0.7747033172992481
20newsgroups,tsne,ami,2,0.7435962850493698
20newsgroups,tsne,ami,2,0.7797436832784028
20newsgroups,tsne,ami,2,0.7333328762132338
20newsgroups,tsne,ami,2,0.994764763905151
20newsgroups,tsne,ami,2,0.998839839416664
20newsgroups,tsne,ami,2,0.9118941225512386
20newsgroups,tsne,ami,2,0.9845783710823105
20newsgroups,tsne,ami,2,0.7518517032342441
20newsgroups,tsne,ami,2,0.9830874773529528
20newsgroups,tsne,ami,2,0.9773658109052457
20newsgroups,tsne,ami,2,0.9892366398381276
20newsgroups,tsne,ami,2,0.9456469658833845
20newsgroups,tsne,ami,2,0.9791067165020566
20newsgroups,tsne,ami,2,0.9948700758828118
20newsgroups,tsne,ami,2,0.7340648517531018
20newsgroups,tsne,ami,2,0.7493275448672042
20newsgroups,tsne,ami,2,0.7445787494182678
20newsgroups,tsne,ami,2,0.9839655542737276
20newsgroups,tsne,ami,2,0.960813981014256
20newsgroups,tsne,ami,2,0.729538366732265
20newsgroups,tsne,ami,2,0.9269979868235169
20newsgroups,tsne,ami,2,0.9960185268301093
20newsgroups,tsne,ami,2,0.7602176576447796
20newsgroups,tsne,ami,2,0.7584880255432916
20newsgroups,tsne,ami,2,0.7417314017978381
20newsgroups,tsne,ami,2,0.990352424999137
20newsgroups,tsne,ami,2,0.9966868794311657
20newsgroups,tsne,ami,2,0.7811840202379533
20newsgroups,tsne,ami,2,0.7705090011838848
20newsgroups,tsne,ami,2,0.7672350392146695
20newsgroups,tsne,ami,2,0.7582617375511593
20newsgroups,tsne,ami,2,0.7374165588666768
20newsgroups,tsne,ami,2,0.7577314063219629
20newsgroups,tsne,ami,2,0.7344195551276025
20newsgroups,tsne,ami,2,0.99668669987253
20newsgroups,tsne,ami,2,0.775007720675252
20newsgroups,tsne,ami,2,0.9938810769568687
20newsgroups,tsne,ami,2,0.9911442028811823
20newsgroups,tsne,ami,2,0.9275714856483944
20newsgroups,tsne,ami,2,0.763997089617533
20newsgroups,tsne,ami,2,0.7251679173604793
20newsgroups,tsne,ami,2,0.7531120047274006
20newsgroups,tsne,ami,2,0.994331352857337
20newsgroups,tsne,ami,2,1.0
20newsgroups,tsne,ami,2,0.9935124781080343
20newsgroups,tsne,ami,2,0.7639717724229936
20newsgroups,tsne,ami,2,0.9951465928253136
20newsgroups,tsne,ami,2,0.7539452604728456
20newsgroups,tsne,ami,2,0.7775016368829516
20newsgroups,tsne,ami,2,0.7721727893449587
20newsgroups,tsne,ami,2,0.9978446035529924
20newsgroups,tsne,ami,2,0.7521929759109535
20newsgroups,tsne,ami,2,0.7824314512696132
20newsgroups,tsne,ami,2,0.96884169686421
20newsgroups,tsne,ami,2,0.7539282710814447
20newsgroups,tsne,ami,2,0.7362595679369454
20newsgroups,tsne,ami,2,0.9860376140545635
20newsgroups,tsne,ami,2,0.7813306313458767
20newsgroups,tsne,ami,2,0.7283586880078068
20newsgroups,tsne,ami,2,0.9641058892921855
20newsgroups,tsne,ami,2,0.7618637937426
20newsgroups,tsne,ami,2,0.7784262749471521
20newsgroups,tsne,ami,2,0.7579425393470505
20newsgroups,tsne,ami,2,0.9816096484209397
20newsgroups,tsne,ami,2,0.7819971567786
20newsgroups,tsne,ami,2,0.788615367369565
20newsgroups,tsne,ami,2,0.7636460966994448
20newsgroups,tsne,ami,2,0.7770052251593765
20newsgroups,tsne,ami,2,0.7317184340554527
20newsgroups,tsne,ami,2,0.7510543045267746
20newsgroups,tsne,ami,2,0.9912298287304152
20newsgroups,tsne,ami,2,0.7479083913530478
20newsgroups,tsne,ami,2,0.9833015331515268
20newsgroups,tsne,ami,2,0.726012350900503
20newsgroups,tsne,ami,2,0.9767750202751683
20newsgroups,tsne,ami,2,0.991165265212199
20newsgroups,tsne,ami,2,0.9659397206918128
20newsgroups,tsne,ami,2,0.993502615489949
20newsgroups,tsne,ami,2,0.7660700875510521
20newsgroups,tsne,ami,2,0.974874997672992
20newsgroups,tsne,ami,2,0.9912441094989909
20newsgroups,tsne,ami,2,0.7534831515151208
20newsgroups,tsne,ami,2,0.9850989814445812
20newsgroups,tsne,ami,2,0.7400282502729465
20newsgroups,tsne,ami,2,0.9849266845812709
20newsgroups,tsne,ami,2,0.997847635377885
20newsgroups,tsne,ami,2,0.7643452688137553
20newsgroups,tsne,ami,2,0.7729337373315602
